Fecha;Hora;Clase de Vuelo;Clasificación Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave
3/1/2020;8;Regular                             ;Internacional;Despegue  ;SAEZ;SPJC;LATAM Perú                    ;BOEING B-767   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAAV;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SARC;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Internacional;Aterrizaje;SPJC;SAAR;LATAM Perú                    ;AIRBUS A-320   
3/1/2020;8;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SAAG;N/A                           ;PIPER PA-32    
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAWH;SAEZ;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SANT;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAEZ;SAAR;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;No Regular                          ;Cabotaje     ;Aterrizaje;SABE;SACO;N/A                           ;LEARJET LJ-35  
3/1/2020;8;Regular                             ;Internacional;Despegue  ;SABE;SUMU;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAVC;SAWG;LADE - Líneas Aéreas Del Estad;SAAB SF34      
3/1/2020;8;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SADM;N/A                           ;TECNAM P-2006  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAZB;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SACO;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAZS;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Internacional;Aterrizaje;EDDF;SAEZ;Lufthansa                     ;BOEING B-747   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWC;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAEZ;SARI;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SADP;SARI;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SACO;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SAME;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SASJ;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;No Regular                          ;Internacional;Despegue  ;SADF;SULS;N/A                           ;LEARJET LJ-60  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWH;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Aterrizaje;SADF;SAAR;N/A                           ;BEECHCRAFT BE65
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAME;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAEZ;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAWG;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SADP;SAWH;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Internacional;Despegue  ;SAEZ;SCEL;LATAM Argentina               ;BOEING B-767   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SAME;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SAVT;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Internacional;Aterrizaje;LEMD;SAEZ;Air Europa                    ;BOEING B-787   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAME;SAEZ;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAWC;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAWE;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SADF;N/A                           ;ROBINSON Helicó
3/1/2020;8;Regular                             ;Internacional;Despegue  ;SACO;SPJC;LATAM Perú                    ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SADP;SARI;Flybondi                      ;BOEING B-737   
3/1/2020;8;Regular                             ;Internacional;Despegue  ;SAEZ;SBFL;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWC;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAVV;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Vuelo Privado con Matrícula Nacional;Internacional;Despegue  ;SADF;SUCA;N/A                           ;CESSNA C-208   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SAAR;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SADP;SARP;Flybondi                      ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SASA;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAZS;SABE;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SANU;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SARP;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAZN;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;8;Regular                             ;Internacional;Aterrizaje;SCEL;SAEZ;Sky Airline                   ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAAV;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAZN;SABE;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SARI;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAZS;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SAZN;SAVC;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SADP;SASA;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;8;Regular                             ;Cabotaje     ;Despegue  ;SABE;SARE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;8;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAZN;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBCT;SAEZ;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Internacional;Aterrizaje;SGAS;SADF;N/A                           ;GULFSTREAM AERO
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWH;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Internacional;Despegue  ;SAAR;SPJC;LATAM Perú                    ;AIRBUS A-320   
